,날짜,국가,시군구,읍면동,거주인구,근무인구,방문자수
0,20190130,뉴질랜드,제주시,한림읍,116,0,145
1,20190130,방글라데시,제주시,오라동,0,0,76
2,20190130,필리핀,제주시,아라동,564,0,158
3,20190130,몽골,제주시,아라동,311,0,19
4,20190130,인도네시아,제주시,아라동,0,0,519
5,20190130,영국,제주시,아라동,179,0,122
6,20190130,캐나다,제주시,아라동,485,0,211
7,20190130,오스트레일리아,제주시,아라동,431,0,0
8,20190130,몽골,제주시,봉개동,0,0,26
9,20190130,미국,제주시,삼양동,0,55,22
10,20190130,러시아,제주시,삼양동,0,0,64
11,20190130,파키스탄,제주시,삼양동,0,0,60
12,20190130,네팔,제주시,삼양동,336,0,98
13,20190130,기타,제주시,삼양동,21,0,38
14,20190130,중국,제주시,삼양동,1185,0,491
15,20190130,베트남,제주시,화북동,377,57,0
16,20190130,미국,제주시,화북동,165,0,77
17,20190130,네팔,제주시,화북동,1660,0,196
18,20190130,미얀마,제주시,화북동,174,141,199
19,20190130,캄보디아,제주시,화북동,170,0,226
20,20190130,기타,제주시,화북동,138,40,15
21,20190130,중국,제주시,화북동,1797,53,1005
22,20190130,중국,제주시,오라동,3238,476,3175
23,20190130,방글라데시,제주시,화북동,0,0,6
24,20190130,기타,제주시,오라동,128,50,142
25,20190130,말레이시아,제주시,오라동,0,0,12
26,20190130,타이완,제주시,이호동,0,0,12
27,20190130,일본,제주시,이호동,0,0,11
28,20190130,인도네시아,제주시,이호동,0,0,156
29,20190130,오스트레일리아,제주시,이호동,0,0,49
30,20190130,태국,제주시,외도동,109,0,6
31,20190130,미얀마,제주시,외도동,116,0,0
32,20190130,스리랑카,제주시,외도동,0,0,25
33,20190130,캄보디아,제주시,외도동,0,40,24
34,20190130,태국,제주시,노형동,230,0,28
35,20190130,뉴질랜드,제주시,노형동,0,0,19
36,20190130,미얀마,제주시,노형동,233,0,538
37,20190130,스리랑카,제주시,노형동,133,0,266
38,20190130,태국,제주시,연동,0,17,148
39,20190130,뉴질랜드,제주시,연동,0,0,5
40,20190130,미얀마,제주시,연동,121,0,48
41,20190130,스리랑카,제주시,연동,6,0,19
42,20190130,캄보디아,제주시,연동,137,0,24
43,20190130,카자흐스탄,제주시,연동,0,0,14
44,20190130,베트남,제주시,오라동,352,24,936
45,20190130,미국,제주시,오라동,0,0,148
46,20190130,네팔,제주시,오라동,217,0,343
47,20190130,미얀마,제주시,오라동,0,24,29
48,20190130,스리랑카,제주시,건입동,177,0,6
49,20190130,태국,제주시,용담2동,50,0,27
50,20190130,스리랑카,제주시,용담2동,0,0,6
51,20190130,중국,제주시,추자면,8,0,265
52,20190130,베트남,제주시,한경면,1130,0,593
53,20190130,미국,제주시,한경면,99,0,137
54,20190130,러시아,제주시,한경면,0,0,48
55,20190130,파키스탄,제주시,한경면,114,0,0
56,20190130,네팔,제주시,한경면,301,0,315
57,20190130,캄보디아,제주시,한경면,0,0,243
58,20190130,기타,제주시,한경면,155,0,111
59,20190130,중국,제주시,한경면,1858,0,1353
60,20190130,필리핀,제주시,조천읍,944,0,108
61,20190130,몽골,제주시,조천읍,0,0,246
62,20190130,러시아,제주시,구좌읍,127,0,16
63,20190130,파키스탄,제주시,구좌읍,119,0,5
64,20190130,태국,제주시,애월읍,477,83,274
65,20190130,뉴질랜드,제주시,애월읍,0,0,15
66,20190130,미얀마,제주시,애월읍,233,0,146
67,20190130,스리랑카,제주시,애월읍,449,0,114
68,20190130,캄보디아,제주시,애월읍,711,0,259
69,20190130,카자흐스탄,제주시,애월읍,57,0,35
70,20190130,베트남,제주시,한림읍,3578,499,4504
71,20190130,태국,제주시,한림읍,592,0,137
72,20190130,미국,제주시,추자면,0,0,66
73,20190130,우즈베키스탄,제주시,추자면,0,0,22
74,20190130,태국,제주시,일도1동,0,0,44
75,20190130,캐나다,제주시,일도2동,115,0,10
76,20190130,베트남,제주시,용담1동,40,0,257
77,20190130,미국,제주시,용담1동,0,0,55
78,20190130,네팔,제주시,용담1동,0,0,119
79,20190130,기타,제주시,용담1동,0,0,23
80,20190130,중국,제주시,용담1동,1049,0,976
81,20190130,미얀마,제주시,삼도2동,0,0,19
82,20190130,스리랑카,제주시,삼도2동,0,0,6
83,20190130,베트남,제주시,삼도1동,978,0,347
84,20190130,우즈베키스탄,제주시,삼도1동,333,73,0
85,20190130,미국,제주시,삼도1동,143,33,33
86,20190130,카자흐스탄,제주시,도두동,0,28,0
87,20190130,러시아,제주시,삼도1동,0,0,24
88,20190130,캄보디아,제주시,삼도1동,0,0,73
89,20190130,키르기스스탄,제주시,삼도1동,0,0,9
90,20190130,기타,제주시,삼도1동,36,0,143
91,20190130,중국,제주시,삼도1동,905,159,1224
92,20190130,필리핀,제주시,이도1동,310,0,76
93,20190130,몽골,제주시,이도1동,0,7,0
94,20190130,영국,제주시,이도1동,0,0,8
95,20190130,타이완,제주시,일도2동,153,0,82
96,20190130,일본,제주시,일도2동,173,0,119
97,20190130,인도네시아,제주시,일도2동,5,0,123
98,20190130,네팔,제주시,삼도1동,105,0,0
99,20190130,캄보디아,제주시,도두동,0,113,331
100,20190130,태국,제주시,도두동,0,0,99
101,20190130,미국,서귀포시,중앙동,66,11,148
102,20190130,중국,서귀포시,효돈동,0,0,61
103,20190130,기타,서귀포시,효돈동,50,0,0
104,20190130,네팔,서귀포시,효돈동,0,0,281
105,20190130,파키스탄,서귀포시,효돈동,0,0,119
106,20190130,미국,서귀포시,효돈동,0,159,71
107,20190130,우즈베키스탄,서귀포시,효돈동,0,73,44
108,20190130,중국,서귀포시,영천동,453,0,1753
109,20190130,기타,서귀포시,영천동,44,0,59
110,20190130,캄보디아,서귀포시,영천동,72,0,146
111,20190130,네팔,서귀포시,영천동,595,56,147
112,20190130,미국,서귀포시,영천동,225,0,208
113,20190130,우즈베키스탄,서귀포시,영천동,689,174,210
114,20190130,파키스탄,서귀포시,중앙동,0,0,5
115,20190130,베트남,서귀포시,영천동,0,24,2402
116,20190130,오스트레일리아,서귀포시,서홍동,0,0,12
117,20190130,캐나다,서귀포시,서홍동,0,0,34
118,20190130,인도네시아,서귀포시,서홍동,1059,134,557
119,20190130,필리핀,서귀포시,서홍동,13,0,6
120,20190130,오스트레일리아,서귀포시,대륜동,194,0,12
121,20190130,영국,서귀포시,대륜동,23,0,34
122,20190130,필리핀,서귀포시,대륜동,63,0,0
123,20190130,타이완,서귀포시,대륜동,283,0,12
124,20190130,러시아,서귀포시,대천동,0,0,63
125,20190130,영국,서귀포시,중문동,38,0,0
126,20190130,몽골,서귀포시,중문동,143,0,71
127,20190130,필리핀,서귀포시,중문동,152,0,0
128,20190130,일본,서귀포시,예래동,0,0,60
129,20190130,카자흐스탄,서귀포시,동홍동,0,0,43
130,20190130,네팔,서귀포시,중앙동,0,0,77
131,20190130,캄보디아,서귀포시,동홍동,380,0,8
132,20190130,기타,서귀포시,중앙동,2,0,82
133,20190130,프랑스,서귀포시,중앙동,0,0,5
134,20190130,우크라이나,제주시,도두동,0,29,0
135,20190130,베트남,제주시,도두동,136,0,121
136,20190130,오스트레일리아,서귀포시,대정읍,881,0,334
137,20190130,캐나다,서귀포시,대정읍,792,34,601
138,20190130,인도네시아,서귀포시,대정읍,1080,585,981
139,20190130,인도,서귀포시,대정읍,205,22,9
140,20190130,일본,서귀포시,대정읍,0,0,87
141,20190130,스리랑카,서귀포시,남원읍,1860,57,734
142,20190130,미얀마,서귀포시,남원읍,436,213,194
143,20190130,중국,서귀포시,안덕면,10094,2735,3802
144,20190130,기타,서귀포시,안덕면,1007,233,277
145,20190130,카자흐스탄,서귀포시,안덕면,0,0,14
146,20190130,캄보디아,서귀포시,안덕면,0,0,32
147,20190130,타이완,서귀포시,대정읍,460,0,389
148,20190130,말레이시아,서귀포시,안덕면,861,0,283
149,20190130,중국,서귀포시,중앙동,1020,174,1293
150,20190130,미얀마,서귀포시,안덕면,0,0,39
151,20190130,일본,서귀포시,정방동,0,0,5
152,20190130,인도네시아,서귀포시,정방동,5,17,294
153,20190130,캐나다,서귀포시,정방동,0,0,91
154,20190130,필리핀,서귀포시,송산동,0,0,51
155,20190130,인도,서귀포시,표선면,67,0,0
156,20190130,일본,서귀포시,표선면,0,43,43
157,20190130,캐나다,서귀포시,표선면,115,0,178
158,20190130,베트남,서귀포시,안덕면,1572,0,506
159,20190130,미국,서귀포시,안덕면,10587,1400,1745
160,20190130,뉴질랜드,서귀포시,안덕면,968,49,242
161,20190130,네팔,서귀포시,안덕면,168,0,266
162,20190130,인도네시아,서귀포시,표선면,134,0,1426
163,20190131,스리랑카,제주시,이도1동,0,0,13
164,20190131,캐나다,제주시,이도2동,159,0,130
165,20190131,미얀마,제주시,이도1동,0,0,5
166,20190131,베트남,제주시,일도2동,697,0,519
167,20190131,태국,제주시,이도1동,0,33,11
168,20190131,오스트레일리아,제주시,이도2동,0,0,43
169,20190131,인도네시아,제주시,이도2동,0,0,16
170,20190131,파키스탄,제주시,건입동,0,0,59
171,20190131,일본,제주시,이도2동,476,0,195
172,20190131,타이완,제주시,이도2동,283,0,0
173,20190131,몽골,제주시,삼도1동,0,0,32
174,20190131,필리핀,제주시,삼도1동,6,0,76
175,20190131,러시아,제주시,용담2동,135,0,24
176,20190131,우즈베키스탄,제주시,일도2동,0,0,7
177,20190131,러시아,제주시,건입동,0,0,48
