,날짜,국가,시군구,읍면동,거주인구,근무인구,방문자수
0,20181103,베트남,제주시,구좌읍,1197,236,380
1,20181103,필리핀,서귀포시,대정읍,360,0,33
2,20181103,몽골,서귀포시,대정읍,282,0,0
3,20181103,영국,서귀포시,대정읍,1979,8,825
4,20181103,독일,서귀포시,대정읍,19,0,0
5,20181103,일본,제주시,도두동,0,0,16
6,20181103,필리핀,제주시,이호동,0,45,52
7,20181103,몽골,제주시,이호동,0,0,14
8,20181103,일본,제주시,외도동,100,0,0
9,20181103,인도네시아,제주시,외도동,89,0,44
10,20181103,캐나다,제주시,외도동,0,0,45
11,20181103,타이완,제주시,노형동,633,0,229
12,20181103,일본,제주시,노형동,732,0,76
13,20181103,인도,제주시,노형동,0,0,71
14,20181103,인도네시아,제주시,노형동,266,0,1236
15,20181103,캐나다,제주시,노형동,995,37,129
16,20181103,오스트레일리아,제주시,노형동,440,0,101
17,20181103,타이완,제주시,연동,984,164,220
18,20181103,일본,제주시,연동,272,0,68
19,20181103,인도,제주시,연동,294,0,14
20,20181103,인도네시아,제주시,연동,0,116,52
21,20181103,캐나다,제주시,연동,136,52,121
22,20181103,오스트레일리아,서귀포시,남원읍,0,0,34
23,20181103,태국,제주시,오라동,0,0,20
24,20181103,캐나다,서귀포시,남원읍,0,0,68
25,20181103,인도,서귀포시,남원읍,112,0,34
26,20181103,캄보디아,서귀포시,천지동,0,0,6
27,20181103,기타,서귀포시,천지동,0,0,20
28,20181103,중국,서귀포시,천지동,360,21,441
29,20181103,베트남,서귀포시,중앙동,0,0,11
30,20181103,태국,서귀포시,중앙동,71,0,0
31,20181103,카자흐스탄,서귀포시,중앙동,103,0,0
32,20181103,필리핀,서귀포시,정방동,190,267,43
33,20181103,몽골,서귀포시,정방동,0,0,14
34,20181103,영국,서귀포시,정방동,59,0,11
35,20181103,필리핀,서귀포시,표선면,550,0,62
36,20181103,몽골,서귀포시,표선면,44,0,227
37,20181103,스리랑카,서귀포시,안덕면,0,0,5
38,20181103,일본,서귀포시,안덕면,266,0,104
39,20181103,인도,서귀포시,안덕면,61,46,20
40,20181103,베트남,서귀포시,성산읍,1639,175,320
41,20181103,미국,서귀포시,성산읍,321,0,164
42,20181103,러시아,서귀포시,성산읍,102,0,0
43,20181103,네팔,서귀포시,성산읍,669,0,0
44,20181103,기타,서귀포시,성산읍,219,17,111
45,20181103,중국,서귀포시,성산읍,4132,573,1091
46,20181103,일본,서귀포시,남원읍,0,0,4
47,20181103,인도네시아,서귀포시,남원읍,670,215,1145
48,20181103,스리랑카,제주시,오라동,0,0,5
49,20181103,베트남,제주시,삼양동,252,91,149
50,20181103,미얀마,제주시,삼양동,0,0,10
51,20181103,키르기스스탄,제주시,이도2동,0,0,7
52,20181103,프랑스,제주시,이도2동,119,0,25
53,20181103,기타,제주시,이도2동,505,0,356
54,20181103,중국,제주시,이도2동,6990,476,2627
55,20181103,방글라데시,제주시,이도2동,0,0,35
56,20181103,필리핀,제주시,일도2동,425,0,104
57,20181103,몽골,제주시,일도2동,0,0,9
58,20181103,영국,제주시,일도2동,0,0,11
59,20181103,타이완,제주시,일도1동,0,0,8
60,20181103,일본,제주시,일도1동,0,0,68
61,20181103,인도,제주시,일도1동,0,0,7
62,20181103,인도네시아,제주시,일도1동,22,0,128
63,20181103,캐나다,제주시,일도1동,0,0,19
64,20181103,일본,제주시,우도면,0,0,12
65,20181103,인도네시아,제주시,우도면,0,0,495
66,20181103,베트남,제주시,추자면,458,91,2419
67,20181103,미얀마,제주시,추자면,0,0,139
68,20181103,방글라데시,제주시,추자면,0,0,49
69,20181103,태국,제주시,한경면,0,0,190
70,20181103,미얀마,제주시,한경면,113,0,7
71,20181103,스리랑카,제주시,한경면,692,0,69
72,20181103,캄보디아,제주시,이도2동,0,0,144
73,20181103,네팔,제주시,이도2동,0,167,60
74,20181103,파키스탄,제주시,이도2동,0,0,43
75,20181103,러시아,제주시,이도2동,51,0,37
76,20181103,캄보디아,제주시,삼양동,315,0,60
77,20181103,스리랑카,제주시,화북동,324,108,96
78,20181103,타이완,제주시,건입동,0,70,127
79,20181103,몽골,제주시,건입동,0,0,100
80,20181103,인도네시아,제주시,건입동,726,244,201
81,20181103,캐나다,제주시,건입동,0,0,57
82,20181103,타이완,제주시,용담2동,305,0,110
83,20181103,일본,제주시,용담2동,0,0,140
84,20181103,인도,제주시,용담2동,0,0,74
85,20181103,인도네시아,제주시,용담2동,244,0,64
86,20181103,말레이시아,서귀포시,천지동,0,0,6
87,20181103,캐나다,제주시,용담2동,0,0,186
88,20181103,스리랑카,제주시,용담1동,0,0,27
89,20181103,타이완,제주시,삼도2동,492,0,102
90,20181103,일본,제주시,삼도2동,100,17,16
91,20181103,인도,제주시,삼도2동,0,0,64
92,20181103,인도네시아,제주시,삼도2동,0,0,20
93,20181103,캐나다,제주시,삼도2동,0,0,53
94,20181103,태국,제주시,삼도1동,131,0,0
95,20181103,베트남,제주시,이도2동,374,319,711
96,20181103,우즈베키스탄,제주시,이도2동,0,0,119
97,20181103,미국,제주시,이도2동,968,58,358
98,20181103,오스트레일리아,제주시,용담2동,0,0,24
99,20181103,네팔,서귀포시,천지동,167,0,0
100,20181103,러시아,서귀포시,천지동,0,0,12
101,20181103,몽골,서귀포시,예래동,0,0,9
102,20181103,인도네시아,서귀포시,예래동,0,0,744
103,20181103,영국,서귀포시,예래동,0,0,20
104,20181103,캐나다,서귀포시,예래동,309,0,163
105,20181103,오스트레일리아,서귀포시,예래동,133,0,0
106,20181103,베트남,서귀포시,대천동,214,0,364
107,20181103,우즈베키스탄,서귀포시,대천동,0,0,5
108,20181103,미국,서귀포시,대천동,227,116,274
109,20181103,말레이시아,서귀포시,대천동,93,97,0
110,20181103,미얀마,서귀포시,대천동,0,0,31
111,20181103,캄보디아,서귀포시,대천동,289,0,0
112,20181103,카자흐스탄,서귀포시,대천동,0,0,90
113,20181103,기타,서귀포시,대천동,196,0,14
114,20181103,중국,서귀포시,대천동,706,104,1130
115,20181103,네팔,서귀포시,대천동,715,0,88
116,20181103,인도,서귀포시,동홍동,0,0,81
117,20181103,일본,서귀포시,동홍동,183,0,4
118,20181103,베트남,서귀포시,천지동,0,0,22
119,20181103,캄보디아,서귀포시,효돈동,372,0,0
120,20181103,스리랑카,서귀포시,효돈동,248,0,161
121,20181103,미얀마,서귀포시,효돈동,0,0,7
122,20181103,말레이시아,서귀포시,효돈동,0,0,3
123,20181103,태국,서귀포시,효돈동,0,0,16
124,20181103,미국,서귀포시,천지동,0,0,126
125,20181103,미얀마,서귀포시,영천동,281,0,20
126,20181103,태국,서귀포시,영천동,0,0,63
127,20181103,오스트레일리아,서귀포시,동홍동,67,0,0
128,20181103,캐나다,서귀포시,동홍동,288,136,83
129,20181103,인도네시아,서귀포시,동홍동,665,0,72
130,20181103,스리랑카,서귀포시,영천동,89,0,5
131,20181104,필리핀,제주시,이도2동,71,0,257
132,20181104,몽골,제주시,이도2동,422,0,73
133,20181104,영국,제주시,이도2동,70,0,6
134,20181104,타이완,제주시,이도1동,0,0,153
135,20181104,일본,제주시,이도1동,0,0,133
136,20181104,인도,제주시,이도1동,0,0,92
137,20181104,인도네시아,제주시,이도1동,0,0,19
138,20181104,스리랑카,제주시,일도2동,0,0,68
139,20181104,태국,제주시,일도2동,121,0,0
140,20181104,베트남,제주시,일도1동,0,8,193
141,20181104,미국,제주시,일도1동,0,0,51
142,20181104,네팔,제주시,일도1동,173,0,136
143,20181104,미얀마,제주시,일도1동,0,0,20
144,20181104,캐나다,제주시,이도1동,0,0,80
145,20181104,방글라데시,제주시,삼도2동,137,0,0
146,20181104,프랑스,제주시,용담2동,0,0,7
147,20181104,기타,제주시,삼도2동,40,2,50
148,20181104,캄보디아,제주시,일도1동,0,0,30
149,20181104,기타,제주시,용담2동,74,0,146
150,20181104,중국,제주시,용담2동,1592,701,2931
151,20181104,러시아,제주시,용담1동,0,0,29
152,20181104,베트남,제주시,삼도2동,38,0,281
153,20181104,우즈베키스탄,제주시,삼도2동,0,0,21
154,20181104,중국,제주시,삼도2동,2238,7,1549
155,20181104,미국,제주시,삼도2동,70,53,101
156,20181104,파키스탄,제주시,삼도2동,0,0,4
157,20181104,네팔,제주시,삼도2동,0,0,49
158,20181104,말레이시아,제주시,삼도2동,0,0,21
159,20181104,캄보디아,제주시,삼도2동,91,0,24
160,20181104,카자흐스탄,제주시,삼도2동,0,0,30
161,20181104,프랑스,제주시,삼도2동,0,0,11
162,20181104,러시아,제주시,삼도2동,74,0,66
163,20181104,카자흐스탄,제주시,일도1동,0,0,5
164,20181104,미국,제주시,애월읍,1550,111,862
165,20181104,중국,제주시,일도1동,389,83,654
166,20181104,키르기스스탄,제주시,애월읍,0,0,14
167,20181104,프랑스,제주시,애월읍,0,0,7
168,20181104,기타,제주시,애월읍,702,107,216
169,20181104,중국,제주시,애월읍,8802,520,7428
170,20181104,방글라데시,제주시,애월읍,120,0,0
171,20181104,우즈베키스탄,제주시,한림읍,0,0,16
172,20181104,말레이시아,제주시,애월읍,252,0,9
173,20181104,미국,제주시,한림읍,1269,0,397
174,20181104,파키스탄,제주시,한림읍,95,0,0
175,20181104,네팔,제주시,한림읍,2577,0,478
176,20181104,프랑스,제주시,한림읍,0,0,7
177,20181104,기타,제주시,한림읍,384,0,195
178,20181104,중국,제주시,한림읍,11223,845,2297
179,20181104,방글라데시,제주시,한림읍,287,0,0
180,20181104,러시아,제주시,한림읍,0,136,82
181,20181104,기타,제주시,일도1동,51,0,17
182,20181104,네팔,제주시,애월읍,4434,0,886
183,20181104,우크라이나,제주시,애월읍,54,0,0
184,20181104,베트남,제주시,우도면,69,152,343
185,20181104,미국,제주시,우도면,0,0,106
186,20181104,기타,제주시,우도면,2,0,0
187,20181104,중국,제주시,우도면,139,0,216
188,20181104,일본,제주시,조천읍,45,0,20
189,20181104,인도,제주시,조천읍,0,0,71
190,20181104,러시아,제주시,애월읍,363,136,107
191,20181104,인도네시아,제주시,조천읍,108,0,710
192,20181104,필리핀,제주시,구좌읍,538,0,192
193,20181104,몽골,제주시,구좌읍,50,0,18
194,20181104,영국,제주시,구좌읍,0,0,42
195,20181104,베트남,제주시,애월읍,5709,1521,7789
196,20181104,우즈베키스탄,제주시,애월읍,0,144,10
197,20181104,카자흐스탄,제주시,용담2동,0,0,10
198,20181104,캐나다,제주시,조천읍,84,0,49
199,20181104,키르기스스탄,제주시,용담2동,0,0,7
200,20181104,캄보디아,제주시,용담2동,0,0,6
201,20181104,중국,서귀포시,남원읍,1537,222,1181
202,20181104,태국,서귀포시,대정읍,307,71,186
203,20181104,미얀마,서귀포시,대정읍,111,0,0
204,20181104,스리랑카,서귀포시,대정읍,2309,82,183
205,20181104,미국,제주시,도두동,0,0,38
206,20181104,우크라이나,제주시,도두동,0,27,0
207,20181104,러시아,제주시,도두동,0,51,0
208,20181104,네팔,제주시,도두동,0,0,5
209,20181104,프랑스,제주시,도두동,0,0,94
210,20181104,기타,제주시,도두동,19,11,43
211,20181104,중국,제주시,도두동,1342,0,1146
212,20181104,태국,제주시,이호동,0,0,60
213,20181104,미얀마,제주시,이호동,0,0,37
214,20181104,스리랑카,제주시,이호동,152,0,0
215,20181104,베트남,제주시,외도동,31,0,110
216,20181104,우즈베키스탄,제주시,외도동,123,0,0
217,20181104,미국,제주시,외도동,0,0,97
218,20181104,러시아,제주시,외도동,0,0,4
219,20181104,네팔,제주시,외도동,308,0,108
220,20181104,캄보디아,제주시,외도동,0,25,89
221,20181104,키르기스스탄,제주시,외도동,177,0,0
222,20181104,기타,서귀포시,남원읍,0,0,70
223,20181104,프랑스,제주시,외도동,0,0,4
224,20181104,프랑스,서귀포시,남원읍,100,0,0
225,20181104,캄보디아,서귀포시,남원읍,690,0,42
226,20181104,캐나다,서귀포시,송산동,0,0,30
227,20181104,오스트레일리아,서귀포시,송산동,87,0,5
228,20181104,스리랑카,서귀포시,표선면,582,197,349
229,20181104,일본,서귀포시,표선면,0,0,12
230,20181104,우즈베키스탄,서귀포시,안덕면,310,0,31
231,20181104,미국,서귀포시,안덕면,9698,642,638
232,20181104,러시아,서귀포시,안덕면,0,45,0
233,20181104,파키스탄,서귀포시,안덕면,0,0,7
234,20181104,네팔,서귀포시,안덕면,361,180,33
235,20181104,프랑스,서귀포시,안덕면,85,0,58
236,20181104,기타,서귀포시,안덕면,1046,111,139
237,20181104,중국,서귀포시,안덕면,11911,1387,1985
238,20181104,필리핀,서귀포시,성산읍,155,0,98
239,20181104,몽골,서귀포시,성산읍,0,6,23
240,20181104,영국,서귀포시,성산읍,0,0,8
241,20181104,베트남,서귀포시,남원읍,1176,106,1710
242,20181104,우즈베키스탄,서귀포시,남원읍,0,0,26
243,20181104,미국,서귀포시,남원읍,93,0,275
244,20181104,뉴질랜드,서귀포시,남원읍,121,0,0
245,20181104,네팔,서귀포시,남원읍,2194,232,538
246,20181104,미얀마,서귀포시,남원읍,446,0,91
247,20181104,카자흐스탄,서귀포시,남원읍,0,0,120
248,20181104,기타,제주시,외도동,32,0,21
249,20181104,중국,제주시,외도동,1766,0,729
250,20181104,베트남,제주시,노형동,6047,411,1667
251,20181104,인도,제주시,아라동,2122,0,85
252,20181104,인도,제주시,봉개동,0,0,3
253,20181104,인도네시아,제주시,봉개동,130,0,218
254,20181104,캐나다,제주시,봉개동,0,0,11
255,20181104,필리핀,제주시,삼양동,279,0,84
256,20181104,우즈베키스탄,제주시,화북동,808,0,0
257,20181104,미국,제주시,화북동,175,0,38
258,20181104,러시아,제주시,화북동,0,0,4
259,20181104,파키스탄,제주시,화북동,120,0,0
260,20181104,중국,제주시,화북동,2135,125,573
261,20181104,베트남,제주시,건입동,924,15,177
262,20181104,미얀마,제주시,건입동,181,0,327
263,20181104,캄보디아,제주시,건입동,0,0,119
264,20181104,카자흐스탄,제주시,건입동,0,0,40
265,20181104,방글라데시,제주시,건입동,0,0,30
266,20181104,베트남,제주시,용담2동,260,0,254
267,20181104,우즈베키스탄,제주시,용담2동,0,0,99
268,20181104,미국,제주시,용담2동,281,0,245
269,20181104,우크라이나,제주시,용담2동,0,0,6
270,20181104,네팔,제주시,용담2동,0,195,125
271,20181104,미얀마,제주시,용담2동,0,0,3
272,20181104,일본,제주시,아라동,722,268,4
273,20181104,러시아,제주시,오라동,119,0,0
274,20181104,우즈베키스탄,제주시,오라동,0,0,47
275,20181104,중국,제주시,연동,54462,7963,9903
276,20181104,우즈베키스탄,제주시,노형동,339,72,21
277,20181104,미국,제주시,노형동,1462,70,440
278,20181104,우크라이나,제주시,노형동,0,0,7
279,20181104,네팔,제주시,노형동,3411,547,419
280,20181104,말레이시아,제주시,노형동,0,0,15
281,20181104,캄보디아,제주시,노형동,773,311,113
282,20181104,키르기스스탄,제주시,노형동,0,0,20
