,날짜,국가,시군구,읍면동,거주인구,근무인구,방문자수
0,20171223,우크라이나,서귀포시,중문동,0,0,9
1,20171223,미국,서귀포시,중문동,0,0,464
2,20171223,베트남,서귀포시,중문동,183,317,4528
3,20171223,영국,서귀포시,예래동,0,0,5
4,20171223,몽골,서귀포시,예래동,0,0,58
5,20171223,필리핀,서귀포시,예래동,0,0,21
6,20171224,중국,제주시,화북동,1685,7,476
7,20171224,미얀마,제주시,건입동,0,0,348
8,20171224,스리랑카,제주시,건입동,135,0,155
9,20171224,태국,제주시,용담2동,146,146,103
10,20171224,뉴질랜드,제주시,용담2동,0,0,10
11,20171224,미얀마,제주시,용담2동,0,0,10
12,20171224,스리랑카,제주시,용담2동,0,0,20
13,20171224,베트남,제주시,용담1동,370,0,99
14,20171224,미국,제주시,용담1동,0,0,26
15,20171224,러시아,제주시,용담1동,132,0,6
16,20171224,태국,제주시,삼도2동,0,0,30
17,20171224,중국,제주시,용담1동,442,68,1040
18,20171224,기타,제주시,화북동,10,0,84
19,20171224,스리랑카,제주시,삼도2동,0,0,94
20,20171224,캄보디아,제주시,삼도2동,0,0,9
21,20171224,베트남,제주시,삼도1동,280,41,33
22,20171224,우즈베키스탄,제주시,삼도1동,228,0,0
23,20171224,미국,제주시,삼도1동,91,6,72
24,20171224,우크라이나,제주시,삼도1동,0,0,19
25,20171224,러시아,제주시,삼도1동,0,0,12
26,20171224,기타,제주시,용담1동,0,0,67
27,20171224,키르기스스탄,제주시,화북동,227,0,0
28,20171224,파키스탄,제주시,화북동,131,0,87
29,20171224,네팔,제주시,화북동,647,0,224
30,20171224,우즈베키스탄,제주시,오라동,0,0,61
31,20171224,미국,제주시,오라동,0,0,144
32,20171224,우크라이나,제주시,오라동,0,0,19
33,20171224,파키스탄,제주시,오라동,0,0,5
34,20171224,네팔,제주시,오라동,179,0,108
35,20171224,기타,제주시,오라동,98,0,67
36,20171224,중국,제주시,오라동,3224,292,2670
37,20171224,타이완,제주시,아라동,0,151,13
38,20171224,일본,제주시,아라동,434,149,6
39,20171224,캄보디아,제주시,화북동,0,0,139
40,20171224,인도,제주시,아라동,1000,212,27
41,20171224,캐나다,제주시,아라동,480,0,221
42,20171224,오스트레일리아,제주시,아라동,506,0,14
43,20171224,필리핀,제주시,봉개동,0,0,95
44,20171224,몽골,제주시,봉개동,0,0,6
45,20171224,파키스탄,제주시,삼양동,0,0,66
46,20171224,베트남,제주시,화북동,560,140,8
47,20171224,미국,제주시,화북동,104,0,0
48,20171224,러시아,제주시,화북동,0,0,54
49,20171224,파키스탄,제주시,삼도1동,0,0,5
50,20171224,인도네시아,제주시,아라동,0,0,152
51,20171224,네팔,제주시,삼도1동,90,0,126
52,20171224,필리핀,제주시,이도1동,364,0,51
53,20171224,중국,제주시,삼도1동,1059,190,1149
54,20171224,캐나다,제주시,조천읍,0,0,44
55,20171224,베트남,제주시,애월읍,3400,552,7283
56,20171224,태국,제주시,애월읍,407,43,115
57,20171224,뉴질랜드,제주시,애월읍,360,0,5
58,20171224,말레이시아,제주시,애월읍,119,0,5
59,20171224,미얀마,제주시,애월읍,121,0,206
60,20171224,스리랑카,제주시,애월읍,196,7,370
61,20171224,캄보디아,제주시,애월읍,1294,373,338
62,20171224,카자흐스탄,제주시,애월읍,244,0,177
63,20171224,인도네시아,제주시,조천읍,191,100,1148
64,20171224,방글라데시,제주시,애월읍,101,0,8
65,20171224,미국,제주시,한림읍,807,0,359
66,20171224,뉴질랜드,제주시,한림읍,0,0,5
67,20171224,네팔,제주시,한림읍,1078,413,881
68,20171224,미얀마,제주시,한림읍,0,0,282
69,20171224,캄보디아,제주시,한림읍,686,0,512
70,20171224,키르기스스탄,제주시,한림읍,237,0,0
71,20171224,카자흐스탄,제주시,한림읍,0,0,74
72,20171224,기타,제주시,한림읍,243,0,267
73,20171224,중국,제주시,한림읍,7749,544,2798
74,20171224,베트남,제주시,한림읍,4929,1062,5768
75,20171224,기타,제주시,삼도1동,0,0,24
76,20171224,몽골,제주시,조천읍,0,0,6
77,20171224,타이완,제주시,조천읍,0,0,13
78,20171224,베트남,제주시,오라동,165,8,708
79,20171224,몽골,제주시,이도1동,0,0,47
80,20171224,영국,제주시,이도1동,0,0,11
81,20171224,오스트레일리아,제주시,이도1동,0,0,22
82,20171224,타이완,제주시,일도2동,0,0,13
83,20171224,일본,제주시,일도2동,111,0,25
84,20171224,인도,제주시,일도2동,0,0,5
85,20171224,인도네시아,제주시,일도2동,262,0,151
86,20171224,캐나다,제주시,일도2동,49,0,6
87,20171224,필리핀,제주시,조천읍,175,0,22
88,20171224,태국,제주시,일도1동,0,0,12
89,20171224,스리랑카,제주시,일도1동,0,0,68
90,20171224,미얀마,제주시,우도면,0,0,15
91,20171224,스리랑카,제주시,우도면,0,0,27
92,20171224,베트남,제주시,한경면,881,0,1112
93,20171224,미국,제주시,한경면,130,0,91
94,20171224,파키스탄,제주시,한경면,0,0,168
95,20171224,네팔,제주시,한경면,234,0,925
96,20171224,기타,제주시,한경면,47,0,0
97,20171224,중국,제주시,한경면,557,68,631
98,20171224,미얀마,제주시,일도1동,0,0,5
99,20171224,카자흐스탄,제주시,연동,333,0,0
100,20171224,키르기스스탄,제주시,연동,475,0,227
101,20171224,베트남,서귀포시,영천동,82,198,1728
102,20171224,우즈베키스탄,서귀포시,영천동,183,8,251
103,20171224,미국,서귀포시,영천동,274,0,110
104,20171224,러시아,서귀포시,영천동,0,0,48
105,20171224,네팔,서귀포시,영천동,431,0,153
106,20171224,기타,서귀포시,영천동,33,0,3
107,20171224,중국,서귀포시,영천동,530,129,1216
108,20171224,우즈베키스탄,서귀포시,효돈동,0,0,31
109,20171224,캄보디아,서귀포시,동홍동,330,0,0
110,20171224,미국,서귀포시,효돈동,0,0,137
111,20171224,인도,서귀포시,정방동,0,0,6
112,20171224,인도네시아,서귀포시,정방동,848,389,2466
113,20171224,캐나다,서귀포시,정방동,0,0,83
114,20171224,필리핀,서귀포시,송산동,0,0,66
115,20171224,일본,서귀포시,표선면,0,0,69
116,20171224,캐나다,서귀포시,표선면,116,0,259
117,20171224,베트남,서귀포시,안덕면,988,198,2420
118,20171224,우즈베키스탄,서귀포시,안덕면,84,0,0
119,20171224,중국,서귀포시,효돈동,163,0,347
120,20171224,미국,서귀포시,안덕면,2701,391,893
121,20171224,스리랑카,서귀포시,동홍동,162,0,182
122,20171224,말레이시아,서귀포시,동홍동,0,0,20
123,20171224,스리랑카,서귀포시,예래동,0,0,7
124,20171224,영국,서귀포시,중문동,0,0,11
125,20171224,독일,서귀포시,중문동,0,0,10
126,20171224,오스트레일리아,서귀포시,중문동,0,0,7
127,20171224,타이완,서귀포시,대륜동,202,0,0
128,20171224,필리핀,서귀포시,대륜동,175,7,320
129,20171224,인도네시아,서귀포시,대륜동,0,0,804
130,20171224,영국,서귀포시,대륜동,17,0,22
131,20171224,미얀마,서귀포시,동홍동,0,0,146
132,20171224,독일,서귀포시,대륜동,0,0,10
133,20171224,오스트레일리아,서귀포시,대륜동,130,0,7
134,20171224,일본,서귀포시,서홍동,0,0,12
135,20171224,인도,서귀포시,서홍동,0,0,60
136,20171224,인도네시아,서귀포시,서홍동,0,0,121
137,20171224,캐나다,서귀포시,서홍동,0,0,22
138,20171224,오스트레일리아,서귀포시,서홍동,0,0,22
