,날짜,국가,시군구,읍면동,거주인구,근무인구,방문자수
0,20181103,중국,제주시,우도면,332,0,275
1,20181103,방글라데시,제주시,노형동,0,0,13
2,20181103,베트남,제주시,연동,1106,8,805
3,20181103,우즈베키스탄,제주시,연동,209,0,109
4,20181103,미국,제주시,연동,1236,197,383
5,20181103,우크라이나,제주시,연동,0,0,32
6,20181103,러시아,제주시,연동,419,0,127
7,20181103,파키스탄,제주시,연동,70,0,62
8,20181103,네팔,제주시,연동,2394,0,604
9,20181103,말레이시아,제주시,연동,101,42,0
10,20181103,키르기스스탄,제주시,연동,226,0,0
11,20181103,프랑스,제주시,연동,0,0,4
12,20181103,기타,제주시,연동,600,111,291
13,20181103,중국,제주시,연동,55083,8244,9550
14,20181103,방글라데시,제주시,연동,0,0,4
15,20181103,러시아,제주시,오라동,153,0,135
16,20181103,파키스탄,제주시,오라동,0,0,14
17,20181103,일본,제주시,아라동,582,216,16
18,20181103,인도,제주시,아라동,2066,0,78
19,20181103,일본,제주시,봉개동,0,0,72
20,20181103,인도네시아,제주시,봉개동,328,0,287
21,20181103,캐나다,제주시,봉개동,0,0,4
22,20181103,중국,제주시,노형동,30434,3548,8026
23,20181103,필리핀,제주시,삼양동,269,0,43
24,20181103,기타,제주시,노형동,400,42,148
25,20181103,카자흐스탄,제주시,노형동,0,0,164
26,20181103,스리랑카,제주시,이호동,152,0,0
27,20181103,베트남,제주시,외도동,175,0,204
28,20181103,우즈베키스탄,제주시,외도동,129,0,0
29,20181103,미국,제주시,외도동,0,0,46
30,20181103,우크라이나,제주시,외도동,0,0,6
31,20181103,러시아,제주시,외도동,0,0,33
32,20181103,네팔,제주시,외도동,365,0,110
33,20181103,캄보디아,제주시,외도동,0,25,0
34,20181103,키르기스스탄,제주시,외도동,151,0,0
35,20181103,카자흐스탄,제주시,외도동,0,0,5
36,20181103,프랑스,제주시,외도동,0,0,4
37,20181103,기타,제주시,외도동,48,0,33
38,20181103,중국,제주시,외도동,1571,0,665
39,20181103,베트남,제주시,노형동,6162,449,2017
40,20181103,우즈베키스탄,제주시,노형동,244,100,5
41,20181103,미국,제주시,노형동,1364,110,324
42,20181103,우크라이나,제주시,노형동,0,0,13
43,20181103,뉴질랜드,제주시,노형동,0,0,15
44,20181103,네팔,제주시,노형동,4164,674,582
45,20181103,말레이시아,제주시,노형동,0,0,25
46,20181103,캄보디아,제주시,노형동,894,314,6
47,20181103,프랑스,제주시,노형동,64,0,18
48,20181103,우즈베키스탄,제주시,화북동,819,0,0
49,20181103,러시아,제주시,화북동,0,0,8
50,20181103,파키스탄,제주시,화북동,115,0,25
51,20181103,방글라데시,제주시,삼도2동,145,0,0
52,20181103,필리핀,제주시,이도2동,92,0,160
53,20181103,몽골,제주시,이도2동,370,0,186
54,20181103,영국,제주시,이도2동,78,0,23
55,20181103,타이완,제주시,이도1동,0,0,152
56,20181103,일본,제주시,이도1동,0,0,84
57,20181103,인도,제주시,이도1동,0,0,61
58,20181103,인도네시아,제주시,이도1동,0,0,40
59,20181103,캐나다,제주시,이도1동,0,0,57
60,20181103,태국,제주시,일도2동,126,0,0
61,20181103,스리랑카,제주시,일도2동,0,0,5
62,20181103,베트남,제주시,일도1동,0,76,99
63,20181103,우즈베키스탄,제주시,일도1동,0,0,21
64,20181103,미국,제주시,일도1동,0,0,59
65,20181103,네팔,제주시,일도1동,114,0,93
66,20181103,기타,제주시,일도1동,51,0,17
67,20181103,중국,제주시,일도1동,249,180,556
68,20181103,방글라데시,제주시,일도1동,0,0,4
69,20181103,베트남,제주시,우도면,153,0,198
70,20181103,미국,제주시,우도면,0,0,114
71,20181103,기타,제주시,우도면,0,0,6
72,20181103,중국,제주시,삼도2동,2471,7,1241
73,20181103,기타,제주시,삼도2동,48,4,29
74,20181103,캄보디아,제주시,삼도2동,91,0,0
75,20181103,네팔,제주시,삼도2동,0,0,33
76,20181103,중국,제주시,화북동,2201,97,575
77,20181103,베트남,제주시,건입동,938,99,375
78,20181103,태국,제주시,건입동,0,0,4
79,20181103,미얀마,제주시,건입동,347,0,71
80,20181103,캄보디아,제주시,건입동,0,0,12
81,20181103,베트남,제주시,용담2동,305,0,149
82,20181103,우즈베키스탄,제주시,용담2동,0,0,31
83,20181103,미국,제주시,용담2동,280,0,303
84,20181103,우크라이나,제주시,용담2동,0,0,19
85,20181103,뉴질랜드,제주시,용담2동,0,0,7
86,20181103,태국,제주시,이호동,0,0,43
87,20181103,네팔,제주시,용담2동,0,144,242
88,20181103,미얀마,제주시,용담2동,0,0,14
89,20181103,캄보디아,제주시,용담2동,0,0,24
90,20181103,기타,제주시,용담2동,99,0,134
91,20181103,중국,제주시,용담2동,1405,974,2848
92,20181103,방글라데시,제주시,용담2동,0,0,26
93,20181103,러시아,제주시,용담1동,0,0,37
94,20181103,베트남,제주시,삼도2동,8,0,336
95,20181103,미국,제주시,삼도2동,76,46,202
96,20181103,러시아,제주시,삼도2동,119,0,25
97,20181103,파키스탄,제주시,삼도2동,0,0,33
98,20181103,말레이시아,제주시,용담2동,0,0,12
99,20181103,중국,제주시,도두동,1550,0,1316
100,20181103,기타,제주시,도두동,17,36,18
101,20181103,인도네시아,서귀포시,송산동,0,0,65
102,20181103,태국,서귀포시,정방동,0,0,4
103,20181103,영국,서귀포시,천지동,0,0,14
104,20181103,몽골,서귀포시,천지동,0,0,5
105,20181103,필리핀,서귀포시,천지동,0,20,38
106,20181103,중국,서귀포시,동홍동,4775,331,646
107,20181103,기타,서귀포시,동홍동,116,59,76
108,20181103,프랑스,서귀포시,동홍동,0,0,85
109,20181103,말레이시아,서귀포시,동홍동,0,0,3
110,20181103,네팔,서귀포시,동홍동,121,0,5
111,20181103,미국,서귀포시,동홍동,793,0,240
112,20181103,우즈베키스탄,서귀포시,동홍동,295,0,26
113,20181103,베트남,서귀포시,동홍동,465,0,66
114,20181103,캐나다,서귀포시,대륜동,168,0,152
115,20181103,인도네시아,서귀포시,대륜동,0,0,413
116,20181103,인도,서귀포시,대륜동,0,0,27
117,20181103,일본,서귀포시,대륜동,105,0,0
118,20181103,베트남,서귀포시,예래동,0,266,612
119,20181103,미얀마,서귀포시,예래동,178,0,0
120,20181103,캄보디아,서귀포시,예래동,0,0,42
121,20181103,키르기스스탄,서귀포시,예래동,0,0,88
122,20181103,카자흐스탄,서귀포시,예래동,0,0,15
123,20181103,일본,서귀포시,중문동,0,0,52
124,20181103,캐나다,서귀포시,송산동,0,0,8
125,20181103,인도,서귀포시,중문동,0,0,169
126,20181103,캐나다,서귀포시,중문동,230,0,102
127,20181103,오스트레일리아,서귀포시,중문동,160,0,19
128,20181103,필리핀,서귀포시,대천동,0,0,118
129,20181103,몽골,서귀포시,대천동,0,0,27
130,20181103,영국,서귀포시,대천동,0,0,23
131,20181103,타이완,서귀포시,대륜동,246,0,93
