,관광명소,분류,분류2,도,시군구,읍면동,리,지번,상세주,위도,경도,월,화,수,목,금,토,일
52,사라오름,오름,실외,제주,서귀포시,남원읍,신례리,산2-1,,33.3710580997065,126.570420854364,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00
53,산지등대,등대,실외,제주,제주시,건입동,,340-2,,33.521512802203,126.54586226971,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00
54,관음사,사찰,실외,제주,제주시,아라1동,,387,,33.4975514354497,126.524929943256,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00
55,이룸갤러리,미술관,실내,제주,제주시,연동,,2438-10,,33.4940039258245,126.482872942726,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,14:00 - 21:00
56,제주향교,문화재,실외,제주,제주시,용담1동,,298-8,,33.5116074257621,126.515609640874,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00
57,모슬포항,자연명소,실외,제주,서귀포시,대정읍,하모리,1089-35,,33.2172295889351,126.250622007538,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00
58,우도올레보트,자연명소,실외,제주,제주시,우도면,연평리,2562,,33.4968784320293,126.94473821389,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
59,신창 풍차해안,해변,실외,제주,제주시,한경면,신창리,1290-3,,33.3454452200485,126.177569140872,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00
60,서문공설시장,지역명소,실외,제주,제주시,용담일동,,135-52,,33.5121384577927,126.518413605912,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00
61,박수기정,지역명소,실외,제주,서귀포시,안덕면,감산리,1008,,33.2361833050253,126.359574901603,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00
