,날짜,시군구,읍면동,성별,연령대,거주인구,근무인구,방문자수
0,20170811,서귀포시,영천동,남,20대,2905,1062,5149
1,20170811,서귀포시,예래동,여,40대,4057,1556,20647
2,20170811,서귀포시,예래동,남,10세미만,1825,283,8891
3,20170811,서귀포시,중문동,여,10대,7526,495,7565
4,20170811,서귀포시,대천동,여,50대,12348,961,8735
5,20170811,서귀포시,대륜동,여,10세미만,16042,1844,8068
6,20170811,서귀포시,중문동,남,80대이상,1449,112,1045
7,20170811,서귀포시,서홍동,여,10대,9537,605,3906
8,20170811,서귀포시,서홍동,남,80대이상,599,32,576
9,20170811,서귀포시,동홍동,여,20대,11448,1376,8615
10,20170811,서귀포시,영천동,여,80대이상,2014,139,1466
11,20170811,서귀포시,대륜동,남,30대,14897,2316,16894
12,20170812,서귀포시,남원읍,남,30대,13539,1609,17194
13,20170812,서귀포시,표선면,남,50대,19837,1888,15650
14,20170812,서귀포시,안덕면,여,50대,16952,1997,15830
15,20170812,서귀포시,성산읍,여,10대,10984,700,12197
16,20170812,서귀포시,성산읍,남,80대이상,2883,7,1750
17,20170812,서귀포시,대정읍,여,50대,31268,1579,8781
18,20170812,제주시,연동,여,10대,62716,3643,26795
19,20170812,제주시,이호동,남,80대이상,574,0,621
20,20170812,제주시,외도동,여,40대,23366,1420,12367
21,20170812,제주시,외도동,남,10세미만,15060,350,7307
22,20170812,제주시,노형동,여,50대,89210,8309,33166
23,20170812,서귀포시,표선면,여,10세미만,5834,408,7652
24,20170812,제주시,도두동,여,30대,2084,46,9650
25,20170812,서귀포시,송산동,여,40대,3024,323,4785
26,20170812,서귀포시,효돈동,여,20대,2599,366,2655
27,20170812,서귀포시,중앙동,남,50대,2203,653,6898
28,20170812,서귀포시,중앙동,여,10세미만,1140,328,5037
29,20170812,서귀포시,천지동,남,10세미만,546,73,2416
30,20170812,서귀포시,천지동,여,40대,1401,131,4340
31,20170812,제주시,연동,남,80대이상,5323,402,3347
32,20170812,서귀포시,영천동,여,30대,4259,451,8105
33,20170812,서귀포시,동홍동,남,40대,30958,2867,17106
34,20170812,서귀포시,서홍동,남,30대,6994,689,7367
35,20170812,서귀포시,대륜동,여,40대,23115,2088,18342
36,20170812,서귀포시,대천동,남,70대,4180,216,3384
37,20170812,서귀포시,중문동,남,30대,10125,1168,16135
38,20170812,서귀포시,중문동,여,10세미만,6550,398,7678
39,20170812,서귀포시,예래동,남,60대,4397,279,6675
40,20170812,서귀포시,정방동,남,40대,4181,799,11622
41,20170812,제주시,오라동,남,40대,20617,4322,30585
42,20170812,제주시,이호동,여,10대,3200,101,4642
43,20170812,제주시,아라동,남,40대,57442,6396,31527
44,20170812,제주시,한림읍,남,70대,12098,372,4665
45,20170812,제주시,아라동,여,80대이상,10710,533,4271
46,20170812,제주시,구좌읍,여,30대,16683,1168,33513
47,20170812,제주시,조천읍,남,70대,12359,601,6368
48,20170812,제주시,한경면,여,30대,5550,465,7860
49,20170812,제주시,추자면,여,30대,857,84,2551
50,20170812,제주시,우도면,남,80대이상,900,0,369
51,20170812,제주시,우도면,여,10대,810,70,2141
52,20170812,제주시,일도1동,남,50대,2519,530,6537
53,20170812,제주시,일도1동,여,10세미만,718,120,3992
54,20170812,제주시,일도2동,여,50대,62623,4668,21508
55,20170812,제주시,이도1동,남,80대이상,1858,57,1250
56,20170812,제주시,이도1동,여,10대,9494,613,11061
57,20170812,제주시,이도2동,남,20대,70933,9217,52183
58,20170812,제주시,애월읍,여,50대,53855,5866,39742
59,20170812,제주시,삼도1동,여,50대,14615,1946,11182
60,20170812,제주시,이도2동,여,80대이상,17620,304,7170
61,20170812,제주시,봉개동,여,10대,4434,127,4356
62,20170812,제주시,삼양동,여,40대,41145,1100,10703
63,20170812,제주시,삼양동,남,10세미만,38826,477,8761
64,20170812,제주시,화북동,남,70대,9524,333,3430
65,20170812,제주시,건입동,여,60대,8957,1001,7954
66,20170812,제주시,봉개동,남,80대이상,798,37,1254
67,20170812,제주시,용담2동,남,10세미만,11512,1378,14799
68,20170812,제주시,용담1동,여,80대이상,3962,59,1978
69,20170812,제주시,용담1동,남,20대,6826,491,6930
70,20170812,제주시,삼도2동,여,10대,4241,302,6827
71,20170812,제주시,용담2동,여,40대,20503,3348,26215
72,20170812,제주시,삼도2동,남,80대이상,1156,78,998
73,20170813,제주시,삼양동,남,60대,16623,574,5544
74,20170813,제주시,이도2동,여,30대,83840,5395,32689
75,20170813,제주시,삼도1동,남,70대,6754,216,2903
76,20170813,제주시,삼도2동,남,30대,5806,995,10975
77,20170813,제주시,용담1동,여,30대,6574,383,5095
