,날짜,시군구,읍면동,성별,연령대,거주인구,근무인구,방문자수
0,20181218,서귀포시,남원읍,남,80대이상,5281,266,1711
1,20181218,서귀포시,예래동,여,40대,3896,1440,14427
2,20181218,서귀포시,예래동,남,10세미만,2330,101,3927
3,20181218,서귀포시,중문동,여,10대,9069,1575,4954
4,20181218,서귀포시,대천동,여,50대,9157,1311,7767
5,20181218,서귀포시,대륜동,남,30대,24183,3346,13103
6,20181218,서귀포시,서홍동,여,10대,8764,1842,3556
7,20181218,서귀포시,동홍동,여,20대,12661,1742,10044
8,20181218,서귀포시,영천동,여,60대,5493,1035,5658
9,20181218,서귀포시,효돈동,여,50대,8214,604,2993
10,20181218,서귀포시,중문동,남,80대이상,1993,25,1043
11,20181218,서귀포시,천지동,여,70대,480,0,1022
12,20181218,서귀포시,천지동,남,10대,780,114,2353
13,20181218,서귀포시,중앙동,여,30대,1656,1249,7153
14,20181218,서귀포시,정방동,남,70대,1871,134,1597
15,20181218,서귀포시,송산동,남,30대,1658,379,2189
16,20181218,서귀포시,표선면,여,30대,10236,1359,8917
17,20181218,서귀포시,안덕면,남,40대,26415,6132,20412
18,20181218,서귀포시,성산읍,여,60대,17381,763,8233
19,20181218,서귀포시,남원읍,여,10대,11243,334,4453
20,20181218,서귀포시,효돈동,남,10대,4627,441,1979
21,20181219,서귀포시,송산동,여,40대,2885,358,2721
22,20181219,서귀포시,송산동,남,10세미만,1552,97,1710
23,20181219,서귀포시,표선면,여,10세미만,5511,372,4213
24,20181219,서귀포시,표선면,남,50대,20984,3172,13899
25,20181219,서귀포시,안덕면,여,50대,18686,2279,13222
26,20181219,서귀포시,성산읍,여,10대,11938,313,6494
27,20181219,제주시,이호동,여,10대,2210,27,2950
28,20181219,서귀포시,남원읍,남,30대,14088,2824,13590
29,20181219,서귀포시,대정읍,여,50대,30716,1838,9766
30,20181219,제주시,도두동,여,30대,1363,339,4229
31,20181219,제주시,이호동,남,80대이상,586,37,691
32,20181219,제주시,외도동,여,40대,22276,1817,9568
33,20181219,서귀포시,정방동,남,20대,976,285,6776
34,20181219,서귀포시,성산읍,남,80대이상,3298,132,1060
