,날짜,국가,시군구,읍면동,방문자수
122,20190818,일본,서귀포시,중문동,21
123,20190818,말레이시아,서귀포시,중문동,219
124,20190818,중국,서귀포시,중문동,8368
125,20190819,인도네시아,제주시,우도면,45
126,20190819,태국,제주시,추자면,96
127,20190819,홍콩,제주시,우도면,33
128,20190819,기타,제주시,우도면,374
129,20190819,중국,제주시,우도면,5051
130,20190819,베트남,제주시,추자면,4
131,20190819,싱가포르,제주시,추자면,3
132,20190819,태국,제주시,한경면,51
133,20190819,홍콩,제주시,추자면,8
134,20190819,기타,제주시,추자면,369
135,20190819,중국,제주시,추자면,4565
136,20190819,베트남,제주시,한경면,24
137,20190819,말레이시아,제주시,한경면,41
138,20190819,일본,제주시,한경면,27
139,20190819,일본,제주시,우도면,269
140,20190819,인도네시아,제주시,추자면,52
141,20190819,태국,제주시,우도면,66
142,20190819,홍콩,제주시,일도2동,7
143,20190819,중국,제주시,일도1동,829
144,20190819,중국,제주시,이도1동,1532
145,20190819,미국,제주시,일도2동,104
146,20190819,싱가포르,제주시,일도2동,64
147,20190819,말레이시아,제주시,일도2동,82
148,20190819,일본,제주시,일도2동,124
149,20190819,홍콩,제주시,한경면,7
150,20190819,기타,제주시,일도2동,124
151,20190819,중국,제주시,일도2동,1729
152,20190819,미국,제주시,일도1동,2
153,20190819,태국,제주시,일도1동,23
154,20190819,말레이시아,제주시,일도1동,14
155,20190819,일본,제주시,일도1동,193
156,20190819,인도네시아,제주시,일도1동,7
157,20190819,홍콩,제주시,일도1동,21
158,20190819,기타,제주시,일도1동,160
159,20190819,미국,제주시,우도면,19
160,20190819,기타,제주시,한경면,86
161,20190819,싱가포르,제주시,구좌읍,28
162,20190819,베트남,제주시,조천읍,32
163,20190819,싱가포르,제주시,애월읍,82
164,20190819,말레이시아,제주시,애월읍,425
165,20190819,일본,제주시,애월읍,629
166,20190819,인도네시아,제주시,애월읍,124
167,20190819,홍콩,제주시,애월읍,122
168,20190819,기타,제주시,애월읍,2798
169,20190819,중국,제주시,애월읍,18187
170,20190819,베트남,제주시,한림읍,103
171,20190819,미국,제주시,한림읍,24
172,20190819,태국,제주시,한림읍,39
173,20190819,말레이시아,제주시,한림읍,188
174,20190819,일본,제주시,한림읍,161
175,20190819,홍콩,제주시,한림읍,12
176,20190819,기타,제주시,한림읍,1051
177,20190819,중국,제주시,한림읍,3903
178,20190819,태국,제주시,애월읍,460
179,20190819,미국,제주시,애월읍,299
180,20190819,베트남,제주시,애월읍,617
181,20190819,중국,제주시,구좌읍,3238
182,20190819,미국,제주시,조천읍,159
183,20190819,태국,제주시,조천읍,101
184,20190819,말레이시아,제주시,조천읍,137
185,20190819,일본,제주시,조천읍,812
186,20190819,인도네시아,제주시,조천읍,5
187,20190819,홍콩,제주시,조천읍,38
188,20190819,기타,제주시,조천읍,1625
189,20190819,중국,제주시,한경면,723
190,20190819,중국,제주시,조천읍,8366
191,20190819,태국,제주시,구좌읍,18
192,20190819,기타,제주시,이도1동,213
193,20190819,말레이시아,제주시,구좌읍,99
194,20190819,일본,제주시,구좌읍,484
195,20190819,인도네시아,제주시,구좌읍,22
196,20190819,홍콩,제주시,구좌읍,60
197,20190819,기타,제주시,구좌읍,373
198,20190819,미국,제주시,구좌읍,147
199,20190819,홍콩,제주시,이도1동,46
200,20190819,인도네시아,제주시,이도1동,2
201,20190819,기타,제주시,아라동,289
202,20190819,중국,제주시,아라동,1671
203,20190819,미국,제주시,봉개동,36
204,20190819,태국,제주시,봉개동,125
205,20190819,말레이시아,제주시,봉개동,31
206,20190819,일본,제주시,봉개동,236
207,20190819,인도네시아,제주시,봉개동,144
208,20190819,홍콩,제주시,봉개동,9
209,20190819,기타,제주시,봉개동,488
210,20190819,중국,제주시,봉개동,2427
211,20190819,일본,제주시,삼양동,269
212,20190819,기타,제주시,삼양동,115
213,20190819,중국,제주시,삼양동,598
214,20190819,일본,제주시,화북동,124
215,20190819,홍콩,제주시,화북동,0
216,20190819,기타,제주시,화북동,84
217,20190819,중국,제주시,화북동,352
218,20190819,미국,제주시,건입동,19
219,20190819,태국,제주시,건입동,38
220,20190819,싱가포르,제주시,건입동,89
221,20190819,말레이시아,제주시,건입동,130
222,20190819,홍콩,제주시,아라동,13
223,20190819,일본,제주시,건입동,709
224,20190819,말레이시아,제주시,아라동,134
225,20190819,미국,제주시,아라동,57
226,20190819,일본,제주시,노형동,801
227,20190819,인도네시아,제주시,노형동,7
228,20190819,홍콩,제주시,노형동,113
229,20190819,기타,제주시,노형동,1742
230,20190819,중국,제주시,노형동,22988
231,20190819,베트남,제주시,연동,439
232,20190819,미국,제주시,연동,171
233,20190819,태국,제주시,연동,306
234,20190819,싱가포르,제주시,연동,97
235,20190819,말레이시아,제주시,연동,1654
236,20190819,일본,제주시,연동,2429
237,20190819,인도네시아,제주시,연동,104
238,20190819,홍콩,제주시,연동,183
239,20190819,기타,제주시,연동,4980
240,20190819,중국,제주시,연동,65113
241,20190819,태국,제주시,오라동,318
242,20190819,말레이시아,제주시,오라동,69
243,20190819,일본,제주시,오라동,5
244,20190819,홍콩,제주시,오라동,13
245,20190819,기타,제주시,오라동,587
246,20190819,중국,제주시,오라동,3586
247,20190819,싱가포르,제주시,아라동,8
248,20190819,인도네시아,제주시,건입동,10
249,20190819,홍콩,제주시,건입동,119
250,20190819,기타,제주시,건입동,694
251,20190819,기타,제주시,삼도2동,946
252,20190819,중국,제주시,삼도2동,5985
253,20190819,미국,제주시,삼도1동,38
254,20190819,싱가포르,제주시,삼도1동,41
255,20190819,말레이시아,제주시,삼도1동,188
256,20190819,일본,제주시,삼도1동,210
257,20190819,홍콩,제주시,삼도1동,16
258,20190819,기타,제주시,삼도1동,302
259,20190819,중국,제주시,삼도1동,3089
260,20190819,미국,제주시,이도2동,133
261,20190819,말레이시아,제주시,이도2동,45
262,20190819,일본,제주시,이도2동,38
263,20190819,인도네시아,제주시,이도2동,141
264,20190819,홍콩,제주시,이도2동,131
265,20190819,기타,제주시,이도2동,361
266,20190819,중국,제주시,이도2동,2338
267,20190819,미국,제주시,이도1동,83
268,20190819,태국,제주시,이도1동,34
269,20190819,싱가포르,제주시,이도1동,20
270,20190819,말레이시아,제주시,이도1동,17
271,20190819,일본,제주시,이도1동,419
272,20190819,홍콩,제주시,삼도2동,75
273,20190819,인도네시아,제주시,삼도2동,290
